State,County,Total_Accidents,Night_Accidents,Winter_Accidents,Night_Proportion,Winter_Proportion
TX,Bexar,38636,9794,13,0.2534941505331815,0.00033647375504710633
IL,Piatt,53,19,3,0.3584905660377358,0.05660377358490566
MI,Manistee,21,4,2,0.19047619047619047,0.09523809523809523
NJ,Bergen,18578,5557,168,0.2991172354397675,0.00904295403165034
WA,Grays Harbor,649,195,5,0.300462249614792,0.007704160246533128
MI,Kalamazoo,1993,569,288,0.28549924736578025,0.1445057701956849
RI,Newport,144,10,2,0.06944444444444445,0.013888888888888888
KY,Greenup,10,5,0,0.5,0.0
IA,Harrison,141,45,17,0.3191489361702128,0.12056737588652482
NJ,Middlesex,15527,5108,204,0.32897533329039735,0.013138404070329105
OH,Sandusky,358,95,16,0.26536312849162014,0.0446927374301676
VA,Fairfax City,321,56,1,0.17445482866043613,0.003115264797507788
TX,Waller,437,130,0,0.2974828375286041,0.0
GA,Talbot,80,8,0,0.1,0.0
GA,Lee,130,62,0,0.47692307692307695,0.0
IA,Monona,91,47,5,0.5164835164835165,0.054945054945054944
MI,Sanilac,3,0,0,0.0,0.0
NY,Putnam,5557,1473,107,0.2650710815188051,0.019254993701637576
TX,Caldwell,241,91,0,0.3775933609958506,0.0
CA,Sierra,450,152,51,0.3377777777777778,0.11333333333333333
MI,Monroe,1794,547,237,0.3049052396878484,0.13210702341137123
IA,Boone,146,38,4,0.2602739726027397,0.0273972602739726
IA,Davis,38,4,0,0.10526315789473684,0.0
IL,Effingham,253,73,7,0.2885375494071146,0.02766798418972332
OH,Hardin,26,10,0,0.38461538461538464,0.0
MD,Anne Arundel,11950,3846,102,0.32184100418410044,0.008535564853556485
FL,Lake,5827,1818,0,0.31199588124249183,0.0
MI,Newaygo,39,11,0,0.28205128205128205,0.0
VA,Fairfax County,36143,10377,128,0.2871095371164541,0.003541487978308386
GA,Clarke,209,108,0,0.5167464114832536,0.0
GA,Jeff Davis,61,25,0,0.4098360655737705,0.0
CA,Amador,2894,1088,1,0.37595024187975123,0.0003455425017277125
IL,Clark,96,29,5,0.3020833333333333,0.052083333333333336
MI,Lenawee,202,63,2,0.3118811881188119,0.009900990099009901
WA,Yakima,168,59,1,0.35119047619047616,0.005952380952380952
FL,Broward,53865,15580,0,0.2892416225749559,0.0
GA,Madison,27,15,0,0.5555555555555556,0.0
VA,Frederick,3250,1074,73,0.3304615384615385,0.02246153846153846
PA,Perry,993,373,30,0.3756294058408862,0.030211480362537766
TX,Grimes,26,6,0,0.23076923076923078,0.0
GA,Stewart,84,22,0,0.2619047619047619,0.0
IA,Linn,1592,487,87,0.30590452261306533,0.05464824120603015
IL,St. Clair,1397,449,25,0.3214030064423765,0.01789549033643522
IL,LaSalle,482,123,45,0.2551867219917012,0.09336099585062241
MI,Washtenaw,3955,870,219,0.21997471554993678,0.05537294563843236
MI,Lake,20,2,2,0.1,0.1
TX,Freestone,45,16,0,0.35555555555555557,0.0
OH,Clark,803,278,65,0.34620174346201743,0.08094645080946451
FL,Alachua,5518,1741,0,0.3155128669807901,0.0
GA,Meriwether,333,106,0,0.3183183183183183,0.0
GA,Ben Hill,28,17,0,0.6071428571428571,0.0
TX,Hays,1394,413,1,0.2962697274031564,0.0007173601147776184
OH,Washington,102,39,8,0.38235294117647056,0.0784313725490196
IL,Knox,65,24,3,0.36923076923076925,0.046153846153846156
NJ,Sussex,544,154,30,0.28308823529411764,0.05514705882352941
DE,Sussex,942,288,6,0.3057324840764331,0.006369426751592357
NE,Otoe,37,19,1,0.5135135135135135,0.02702702702702703
PA,Centre,5486,2112,385,0.38497994896099164,0.07017863652934743
IA,Clarke,94,40,14,0.425531914893617,0.14893617021276595
IL,Winnebago,822,286,58,0.34793187347931875,0.0705596107055961
MI,Montcalm,82,27,14,0.32926829268292684,0.17073170731707318
OH,Meigs,34,9,5,0.2647058823529412,0.14705882352941177
IA,Crawford,32,6,0,0.1875,0.0
GA,Tift,311,105,0,0.33762057877813506,0.0
GA,Tattnall,66,18,0,0.2727272727272727,0.0
GA,Treutlen,204,75,0,0.36764705882352944,0.0
MI,Ottawa,2537,1033,247,0.40717382735514385,0.09735908553409539
OH,Gallia,31,8,1,0.25806451612903225,0.03225806451612903
GA,Fulton,54565,17584,43,0.3222578576010263,0.000788050948410153
GA,Hart,107,40,0,0.37383177570093457,0.0
WA,Columbia,2,0,0,0.0,0.0
NE,Washington,118,19,4,0.16101694915254236,0.03389830508474576
TX,Travis,107881,28652,71,0.2655889359572121,0.0006581325720006303
IA,Polk,8776,2735,601,0.3116453965360073,0.06848222424794895
VA,Fairfax,8571,2224,40,0.2594796406486991,0.00466690001166725
WA,Jefferson,571,177,5,0.30998248686514884,0.008756567425569177
GA,Polk,198,63,0,0.3181818181818182,0.0
IL,Menard,6,4,1,0.6666666666666666,0.16666666666666666
MI,Macomb,7536,2381,392,0.31595010615711255,0.05201698513800425
MI,Allegan,1070,409,213,0.3822429906542056,0.19906542056074766
IA,Mahaska,83,26,5,0.3132530120481928,0.060240963855421686
OH,Morrow,175,54,10,0.30857142857142855,0.05714285714285714
OR,Columbia,2009,755,37,0.3758088601294176,0.01841712294673967
FL,St. Lucie,2808,948,0,0.33760683760683763,0.0
FL,Saint Lucie,32,8,0,0.25,0.0
GA,Hancock,27,1,0,0.037037037037037035,0.0
MI,Oceana,29,10,6,0.3448275862068966,0.20689655172413793
NY,Richmond,5806,1641,61,0.2826386496727523,0.010506372717878057
PA,Fulton,993,341,28,0.3434038267875126,0.028197381671701913
CA,Fresno,31563,11377,0,0.3604536957830371,0.0
FL,Flagler,1176,462,0,0.39285714285714285,0.0
GA,Jefferson,65,22,0,0.3384615384615385,0.0
IA,Wapello,167,70,2,0.41916167664670656,0.011976047904191617
IA,Bremer,47,19,2,0.40425531914893614,0.0425531914893617
IA,Jefferson,64,7,0,0.109375,0.0
PA,Luzerne,1869,683,145,0.36543606206527557,0.07758159443552702
OH,Summit,6026,1523,350,0.2527381347494192,0.058081646199800864
GA,Cobb,12373,3838,16,0.31019154610846195,0.0012931382849753496
GA,Clay,22,3,0,0.13636363636363635,0.0
GA,Morgan,485,140,0,0.28865979381443296,0.0
IL,Vermilion,156,57,13,0.36538461538461536,0.08333333333333333
MI,Muskegon,494,113,71,0.22874493927125505,0.1437246963562753
TX,Leon,32,8,0,0.25,0.0
GA,Pickens,140,39,0,0.2785714285714286,0.0
TX,Robertson,24,6,0,0.25,0.0
GA,Schley,20,6,0,0.3,0.0
MI,Ingham,2178,532,166,0.24426078971533516,0.07621671258034894
MD,Howard,6134,2050,84,0.3342028040430388,0.013694163677861103
NE,Dodge,122,46,3,0.3770491803278688,0.02459016393442623
MO,Jefferson,1767,511,36,0.28919071873231467,0.02037351443123939
PA,Schuylkill,1318,581,44,0.4408194233687405,0.03338391502276176
VA,Rockingham,2826,919,56,0.32519462137296534,0.019815994338287332
PA,Snyder,1629,506,18,0.3106200122774708,0.011049723756906077
OH,Marion,141,37,10,0.2624113475177305,0.07092198581560284
OH,Clinton,286,118,12,0.4125874125874126,0.04195804195804196
OH,Brown,92,23,1,0.25,0.010869565217391304
GA,Carroll,906,371,2,0.4094922737306843,0.002207505518763797
GA,Emanuel,111,34,0,0.3063063063063063,0.0
CT,Windham,742,262,13,0.353099730458221,0.01752021563342318
NH,Cheshire,555,137,51,0.24684684684684685,0.0918918918918919
OH,Richland,301,92,26,0.30564784053156147,0.08637873754152824
GA,Rockdale,782,352,0,0.45012787723785164,0.0
MI,Clare,79,10,6,0.12658227848101267,0.0759493670886076
CA,San Joaquin,34041,12819,0,0.37657530624834756,0.0
NE,Dakota,30,5,3,0.16666666666666666,0.1
CA,Butte,6949,2802,0,0.4032234853935818,0.0
MA,Norfolk,8681,2123,167,0.2445570786775717,0.01923741504434973
NJ,Camden,11992,2989,176,0.2492494996664443,0.01467645096731154
PA,Fayette,598,214,38,0.35785953177257523,0.06354515050167224
WA,Whitman,84,24,4,0.2857142857142857,0.047619047619047616
IA,Black Hawk,332,107,33,0.32228915662650603,0.09939759036144578
MD,Queen Anne's,1999,683,25,0.3416708354177089,0.01250625312656328
FL,Hardee,865,388,0,0.4485549132947977,0.0
IA,Jasper,727,305,27,0.4195323246217332,0.037138927097661624
NJ,Cumberland,860,298,8,0.34651162790697676,0.009302325581395349
CA,Colusa,1734,744,0,0.4290657439446367,0.0
NY,New York,21989,7265,103,0.3303924689617536,0.0046841602619491565
CA,Ventura,21276,7400,2,0.34780973867268283,9.400263207369807e-05
GA,Butts,915,235,0,0.2568306010928962,0.0
NH,Hillsborough,2958,787,170,0.26605814739688977,0.05747126436781609
NY,Rockland,10170,2956,161,0.29065880039331365,0.01583087512291052
OH,Shelby,319,121,1,0.3793103448275862,0.003134796238244514
OH,Knox,99,20,10,0.20202020202020202,0.10101010101010101
FL,Seminole,10573,2844,0,0.2689870424666604,0.0
MI,Midland,246,73,8,0.2967479674796748,0.032520325203252036
GA,Floyd,252,125,0,0.49603174603174605,0.0
IA,Sioux,85,19,1,0.2235294117647059,0.011764705882352941
WI,Grant,53,9,1,0.16981132075471697,0.018867924528301886
MI,Livingston,1913,442,172,0.23105070569785677,0.08991113434396236
NY,Rensselaer,3940,1357,307,0.3444162436548223,0.07791878172588833
MD,Prince George's,26791,9866,61,0.36825799708857454,0.0022768840282184314
PA,Blair,3595,1453,195,0.40417246175243393,0.054242002781641166
MI,Calhoun,1127,324,174,0.28748890860692106,0.1543921916592724
IN,LaGrange,123,33,4,0.2682926829268293,0.032520325203252036
MA,Bristol,2545,735,79,0.2888015717092338,0.031041257367387033
TX,Eastland,140,53,0,0.37857142857142856,0.0
WA,Benton,119,27,8,0.226890756302521,0.06722689075630252
WA,Pend Oreille,39,21,1,0.5384615384615384,0.02564102564102564
OH,Delaware,3993,1228,183,0.3075381918357125,0.04583020285499624
CA,Stanislaus,18809,7094,2,0.3771598702748684,0.000106332075070445
GA,Troup,1130,384,1,0.3398230088495575,0.0008849557522123894
IA,Cass,434,188,3,0.43317972350230416,0.0069124423963133645
MD,Garrett,360,104,11,0.28888888888888886,0.030555555555555555
IL,Washington,114,39,4,0.34210526315789475,0.03508771929824561
IL,Coles,63,25,3,0.3968253968253968,0.047619047619047616
GA,Clayton,6074,2360,5,0.388541323674679,0.0008231807704972012
PA,Dauphin,6596,2020,131,0.30624620982413586,0.019860521528198907
GA,Lamar,150,44,0,0.29333333333333333,0.0
IA,Tama,61,13,3,0.21311475409836064,0.04918032786885246
MI,Genesee,40533,14268,3204,0.3520094737621198,0.07904670268669972
NH,Rockingham,2547,707,181,0.27758146839418923,0.07106399685904986
IL,Whiteside,83,25,6,0.30120481927710846,0.07228915662650602
WI,Walworth,297,109,13,0.367003367003367,0.04377104377104377
IL,Bureau,122,41,9,0.3360655737704918,0.07377049180327869
PA,Monroe,1957,659,128,0.3367399080224834,0.06540623403168115
TX,DeWitt,5,1,0,0.2,0.0
IA,Iowa,334,151,32,0.45209580838323354,0.09580838323353294
IA,Clayton,41,11,2,0.2682926829268293,0.04878048780487805
PA,Somerset,3300,1166,170,0.35333333333333333,0.051515151515151514
WV,Mineral,26,11,0,0.4230769230769231,0.0
CA,Placer,17846,6149,501,0.3445590048190071,0.028073517875154098
CA,Tuolumne,4406,1576,0,0.35769405356332273,0.0
SC,Aiken,9276,3212,3,0.346269943941354,0.0003234152652005175
GA,Cherokee,1785,513,2,0.28739495798319326,0.0011204481792717086
GA,Bibb,1526,401,2,0.26277850589777196,0.001310615989515072
IA,Humboldt,10,1,0,0.1,0.0
OH,Highland,82,21,1,0.25609756097560976,0.012195121951219513
PA,Mifflin,1560,681,50,0.43653846153846154,0.03205128205128205
CA,Yolo,9327,3050,0,0.32700761230835207,0.0
MA,Hampshire,253,47,5,0.1857707509881423,0.019762845849802372
CT,Litchfield,777,282,29,0.36293436293436293,0.03732303732303732
GA,Oconee,132,35,0,0.26515151515151514,0.0
FL,Indian River,1101,376,0,0.34150772025431425,0.0
GA,Warren,232,56,1,0.2413793103448276,0.004310344827586207
MO,St. Charles,3886,1158,158,0.2979927946474524,0.040658775090066906
RI,Kent,2636,531,35,0.20144157814871017,0.013277693474962063
CT,Tolland,1259,439,68,0.34868943606036534,0.054011119936457505
PA,Lancaster,27381,8463,546,0.3090829407253205,0.019940834885504546
PA,Chester,15382,4952,377,0.32193472890391367,0.024509166558314914
OH,Guernsey,198,76,12,0.3838383838383838,0.06060606060606061
CA,Riverside,88248,31680,0,0.3589883056839815,0.0
CA,Nevada,8090,3072,552,0.37972805933250925,0.06823238566131026
GA,Worth,154,55,0,0.35714285714285715,0.0
PA,Juniata,1072,436,49,0.40671641791044777,0.0457089552238806
CA,Marin,13797,4397,0,0.31869246937740087,0.0
FL,Manatee,22153,6064,0,0.2737326772897576,0.0
PA,Lawrence,1052,450,53,0.42775665399239543,0.05038022813688213
PA,Beaver,879,341,51,0.38794084186575656,0.05802047781569966
GA,Wilcox,11,1,0,0.09090909090909091,0.0
GA,Heard,203,73,0,0.35960591133004927,0.0
VA,Alexandria City,32,7,0,0.21875,0.0
WV,Berkeley,1482,609,25,0.4109311740890688,0.016869095816464237
OH,Muskingum,316,92,13,0.2911392405063291,0.04113924050632911
OH,Madison,644,220,16,0.3416149068322981,0.024844720496894408
GA,Burke,93,33,0,0.3548387096774194,0.0
GA,Bacon,24,11,0,0.4583333333333333,0.0
IN,St. Joseph,228,95,14,0.4166666666666667,0.06140350877192982
NJ,Hunterdon,1527,451,44,0.2953503601833661,0.028814669286182055
MD,Allegany,770,325,29,0.42207792207792205,0.03766233766233766
NJ,Atlantic,2680,914,33,0.341044776119403,0.012313432835820896
CA,Santa Barbara,14170,5118,1,0.36118560338743827,7.057163020465773e-05
FL,Martin,2777,966,0,0.34785740007202015,0.0
IL,Woodford,77,20,5,0.2597402597402597,0.06493506493506493
MI,Tuscola,22,7,2,0.3181818181818182,0.09090909090909091
FL,Miami-Dade,251601,60760,2,0.24149347578109784,7.94909400201112e-06
MI,Mecosta,42,16,8,0.38095238095238093,0.19047619047619047
OH,Clermont,1143,336,39,0.29396325459317585,0.03412073490813648
OH,Erie,474,111,21,0.23417721518987342,0.04430379746835443
IA,Cerro Gordo,154,74,10,0.4805194805194805,0.06493506493506493
MI,Crawford,47,14,9,0.2978723404255319,0.19148936170212766
MA,Franklin,183,46,13,0.25136612021857924,0.07103825136612021
PA,Lehigh,5400,1443,79,0.26722222222222225,0.01462962962962963
TX,Walker,89,19,0,0.21348314606741572,0.0
IA,Dubuque,157,60,8,0.3821656050955414,0.050955414012738856
IL,Iroquois,229,81,10,0.3537117903930131,0.043668122270742356
MI,Saginaw,947,284,89,0.29989440337909185,0.09398099260823653
NJ,Gloucester,4338,1318,124,0.30382664822498845,0.02858460119870908
TX,Houston,40,14,0,0.35,0.0
MI,Osceola,72,13,5,0.18055555555555555,0.06944444444444445
WA,Snohomish,12360,4293,201,0.34733009708737866,0.016262135922330098
OH,Hancock,263,86,15,0.3269961977186312,0.057034220532319393
OH,Adams,41,9,0,0.21951219512195122,0.0
OH,Miami,436,136,23,0.3119266055045872,0.052752293577981654
CA,Alameda,98553,33332,4,0.3382139559424878,4.0587298205026735e-05
PA,Allegheny,19802,6583,1029,0.33244116755883246,0.05196444803555197
OH,Ross,178,47,8,0.2640449438202247,0.0449438202247191
GA,Monroe,1267,338,0,0.26677190213101815,0.0
MI,Shiawassee,382,125,47,0.32722513089005234,0.12303664921465969
VA,Clarke,657,246,3,0.3744292237442922,0.0045662100456621
TX,Parker,574,188,3,0.32752613240418116,0.005226480836236934
TX,Bastrop,230,66,0,0.28695652173913044,0.0
WA,Grant,125,52,2,0.416,0.016
CA,San Mateo,30525,9884,0,0.3238001638001638,0.0
GA,Laurens,347,109,0,0.31412103746397696,0.0
TX,Bosque,3,0,0,0.0,0.0
WA,Wahkiakum,51,9,1,0.17647058823529413,0.0196078431372549
CA,Glenn,1534,625,0,0.4074315514993481,0.0
IA,Mills,174,68,7,0.39080459770114945,0.040229885057471264
VA,Fauquier,3953,1243,68,0.31444472552491776,0.017202124968378446
TX,Gonzales,40,6,0,0.15,0.0
NY,Delaware,257,66,6,0.25680933852140075,0.023346303501945526
GA,Macon,58,23,0,0.39655172413793105,0.0
CA,Santa Clara,70482,23080,0,0.3274594932039386,0.0
MI,Otsego,56,14,15,0.25,0.26785714285714285
TX,Tarrant,33947,11287,71,0.3324888797242761,0.0020914955666185525
TX,Rockwall,1659,441,2,0.26582278481012656,0.0012055455093429777
GA,Dekalb,2613,1094,1,0.4186758515116724,0.0003827018752391887
GA,Turner,167,71,0,0.4251497005988024,0.0
IL,DuPage,32447,7248,1468,0.22337966530033593,0.0452430116805868
IL,Grundy,472,139,33,0.2944915254237288,0.06991525423728813
MO,St. Louis City,5355,1456,82,0.2718954248366013,0.015312791783380018
OH,Putnam,23,2,0,0.08695652173913043,0.0
PA,Northampton,3224,967,61,0.2999379652605459,0.01892059553349876
CA,Sacramento,95377,29935,0,0.3138597355756629,0.0
OH,Seneca,32,7,0,0.21875,0.0
MD,Queen Annes,437,95,8,0.21739130434782608,0.018306636155606407
CA,Orange,107580,33804,0,0.31422197434467375,0.0
MI,Bay,595,106,25,0.1781512605042017,0.04201680672268908
MI,Arenac,85,15,8,0.17647058823529413,0.09411764705882353
OH,Lorain,1124,290,105,0.2580071174377224,0.09341637010676157
WI,Kenosha,685,217,77,0.3167883211678832,0.11240875912408758
MI,Barry,127,50,20,0.3937007874015748,0.15748031496062992
PA,Cumberland,5516,1559,93,0.28263234227701234,0.0168600435097897
GA,Columbia,936,222,0,0.23717948717948717,0.0
IL,McHenry,623,225,26,0.3611556982343499,0.04173354735152488
IL,DeKalb,195,85,13,0.4358974358974359,0.06666666666666667
IL,Jo Daviess,28,5,0,0.17857142857142858,0.0
MI,St. Joseph,154,37,7,0.24025974025974026,0.045454545454545456
GA,Candler,107,42,0,0.3925233644859813,0.0
TX,Wood,23,6,0,0.2608695652173913,0.0
OH,Fairfield,779,247,33,0.3170731707317073,0.04236200256739409
GA,Hall,1131,320,1,0.28293545534924847,0.0008841732979664014
IL,Henry,156,52,5,0.3333333333333333,0.03205128205128205
OH,Lucas,2884,826,164,0.28640776699029125,0.056865464632454926
TX,Dallas,155733,50340,219,0.3232455548920267,0.0014062530099593535
MI,Van Buren,846,292,233,0.34515366430260047,0.27541371158392436
NY,Schenectady,2406,860,220,0.3574397339983375,0.0914380714879468
PA,Montgomery,68302,18032,683,0.2640039823138415,0.009999707182805774
TX,Milam,24,9,0,0.375,0.0
CA,Yuba,4778,1902,4,0.3980745081624111,0.0008371703641691084
GA,Harris,291,77,0,0.2646048109965636,0.0
GA,Gordon,520,174,3,0.3346153846153846,0.0057692307692307696
IL,Kankakee,312,80,20,0.2564102564102564,0.0641025641025641
MI,St. Clair,907,353,156,0.38919514884233736,0.17199558985667035
MI,Roscommon,60,9,15,0.15,0.25
CT,Fairfield,17655,5716,183,0.32376097422826394,0.010365335598980459
TX,Guadalupe,472,114,0,0.24152542372881355,0.0
GA,Dooly,284,83,0,0.29225352112676056,0.0
IA,Scott,1202,402,71,0.33444259567387685,0.05906821963394343
IA,Plymouth,85,29,6,0.3411764705882353,0.07058823529411765
TX,Hood,18,1,0,0.05555555555555555,0.0
CA,San Francisco,17620,6187,0,0.3511350737797957,0.0
GA,Bulloch,360,133,0,0.36944444444444446,0.0
GA,Banks,389,102,1,0.2622107969151671,0.002570694087403599
MI,Lapeer,193,88,49,0.45595854922279794,0.2538860103626943
TX,Van Zandt,54,18,0,0.3333333333333333,0.0
MI,Isabella,83,14,9,0.1686746987951807,0.10843373493975904
NY,Dutchess,9629,2425,207,0.2518433897600997,0.021497559455810573
MD,Carroll,1360,409,28,0.30073529411764705,0.020588235294117647
GA,Crisp,123,39,0,0.3170731707317073,0.0
IL,Mason,14,5,0,0.35714285714285715,0.0
NY,Schoharie,237,104,24,0.4388185654008439,0.10126582278481013
OH,Licking,1145,402,50,0.35109170305676857,0.043668122270742356
IL,Cook,65369,21968,3220,0.33606143584879683,0.04925882298949043
MI,Eaton,990,328,108,0.33131313131313134,0.10909090909090909
TX,Hunt,134,45,3,0.3358208955223881,0.022388059701492536
WI,Lafayette,7,4,0,0.5714285714285714,0.0
PA,Huntingdon,1576,694,52,0.4403553299492386,0.03299492385786802
WV,Harrison,290,100,30,0.3448275862068966,0.10344827586206896
IL,Tazewell,2716,661,115,0.24337260677466863,0.042341678939617086
IL,Fayette,109,31,5,0.28440366972477066,0.045871559633027525
TX,Falls,33,4,0,0.12121212121212122,0.0
NY,Queens,41480,13784,231,0.33230472516875603,0.005568948891031823
NY,Greene,1517,621,100,0.40936058009228743,0.06591957811470006
PA,Northumberland,2401,844,62,0.35152019991670136,0.025822573927530196
PA,Greene,312,113,16,0.36217948717948717,0.05128205128205128
WA,Chelan,103,28,4,0.27184466019417475,0.038834951456310676
FL,Lee,34554,9245,0,0.2675522370781964,0.0
GA,Sumter,57,22,0,0.38596491228070173,0.0
OH,Stark,898,288,121,0.3207126948775056,0.13474387527839643
PA,Delaware,9203,3028,105,0.32902314462675214,0.011409323046832554
PA,Bucks,5635,1801,103,0.31960958296362024,0.018278615794143745
OH,Fayette,179,78,5,0.43575418994413406,0.027932960893854747
MI,Clinton,372,68,20,0.1827956989247312,0.053763440860215055
WA,Walla Walla,25,9,1,0.36,0.04
GA,Oglethorpe,57,10,0,0.17543859649122806,0.0
GA,Spalding,960,344,0,0.35833333333333334,0.0
GA,McDuffie,234,57,0,0.24358974358974358,0.0
IL,Dupage,8592,1663,228,0.19355214152700187,0.02653631284916201
PA,Franklin,1800,657,28,0.365,0.015555555555555555
PA,Harford,2,0,0,0.0,0.0
IA,Webster,34,5,4,0.14705882352941177,0.11764705882352941
PA,Lebanon,2691,818,105,0.3039762170196953,0.03901895206243032
TX,Burnet,83,23,0,0.27710843373493976,0.0
TX,Henderson,20,1,0,0.05,0.0
IL,Macon,110,37,1,0.33636363636363636,0.00909090909090909
IL,Dekalb,64,22,2,0.34375,0.03125
MA,Berkshire,213,47,14,0.22065727699530516,0.06572769953051644
NJ,Mercer,6194,1599,169,0.25815305134000643,0.027284468840813692
FL,Osceola,18397,5705,0,0.31010490840897975,0.0
MI,Gratiot,88,24,4,0.2727272727272727,0.045454545454545456
OH,Logan,107,31,0,0.2897196261682243,0.0
SC,Greenwood,4241,1317,1,0.3105399669889177,0.0002357934449422306
NE,Douglas,21204,3926,683,0.185153744576495,0.032210903603093755
SC,Oconee,6525,1872,15,0.2868965517241379,0.0022988505747126436
NE,Cass,147,22,8,0.14965986394557823,0.05442176870748299
RI,Providence,13435,2942,293,0.21898027540007442,0.021808708596948268
PA,Pike,853,284,83,0.33294255568581477,0.09730363423212192
TX,Kaufman,1282,376,0,0.29329173166926675,0.0
